Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
1969-12-01T05:00:00.000Z,785.97,800.36,783.79,800.36,,-0.6918,0
1970-01-01T05:00:00.000Z,809.2,819.23,739.11,744.06,-7.03,-7.73,"2,210,900"
1970-02-02T05:00:00.000Z,744.06,784.19,738.78,777.59,4.51,3.81,"2,283,800"
1970-03-02T05:00:00.000Z,777.59,803.26,757.99,785.57,1.03,0.3344,"2,128,800"
1970-04-01T05:00:00.000Z,785.57,798.84,716.74,736.07,-6.3,-6.99,"2,231,200"
1970-05-01T04:00:00.000Z,736.07,740.76,627.46,700.44,-4.84,-5.53,"2,582,200"
1970-06-01T04:00:00.000Z,700.44,728.23,674.9,683.53,-2.41,-3.11,"2,264,200"
1970-07-01T04:00:00.000Z,683.53,743.36,665.32,734.12,7.4,6.71,"2,277,400"
1970-08-03T04:00:00.000Z,734.12,772.04,702.83,764.58,4.15,3.46,"2,186,900"
1970-09-01T04:00:00.000Z,764.58,778.27,741.51,760.68,-0.5101,-1.2,"3,032,900"
1970-10-01T04:00:00.000Z,760.68,791.07,746.71,755.61,-0.6665,-1.36,"2,613,700"
1970-11-02T05:00:00.000Z,755.61,797.51,749.52,794.09,5.09,4.4,"2,302,900"
1970-12-01T05:00:00.000Z,794.09,848.23,787.45,838.92,5.65,4.95,"3,352,400"
1971-01-01T05:00:00.000Z,838.92,873.84,826.53,868.5,3.53,2.83,"3,484,900"
1971-02-01T05:00:00.000Z,868.5,898.14,861.99,878.83,1.19,0.4976,"3,711,900"
1971-03-01T05:00:00.000Z,878.83,922.3,873.22,904.37,2.91,2.21,"3,898,800"
1971-04-01T05:00:00.000Z,904.37,958.12,897.48,941.75,4.13,3.44,"4,015,800"
1971-05-03T04:00:00.000Z,941.75,948.85,898.61,907.81,-3.6,-4.3,"3,073,600"
1971-06-01T04:00:00.000Z,907.81,929.6,866.31,891.14,-1.84,-2.53,"3,035,900"
1971-07-01T04:00:00.000Z,891.14,908.81,854.41,858.43,-3.67,-4.36,"2,652,400"
1971-08-02T04:00:00.000Z,858.43,917.79,834.92,898.07,4.62,3.93,"3,205,200"
1971-09-01T04:00:00.000Z,898.07,925.67,877.48,887.19,-1.21,-1.9,"2,527,200"
1971-10-01T04:00:00.000Z,887.19,910.56,827.83,839,-5.43,-6.12,"2,800,800"
1971-11-01T05:00:00.000Z,839,855.21,790.67,831.34,-0.913,-1.6,"2,764,100"
1971-12-01T05:00:00.000Z,831.34,902.47,831.12,890.2,7.08,6.39,"3,776,800"
1972-01-03T05:00:00.000Z,890.2,923.99,882.75,902.17,1.34,0.6528,"3,794,900"
1972-02-01T05:00:00.000Z,902.17,933.25,894.34,928.13,2.88,2.19,"3,762,600"
1972-03-01T05:00:00.000Z,928.13,957.03,924.14,940.7,1.35,0.6625,"4,036,500"
1972-04-03T05:00:00.000Z,940.7,977.72,933.62,954.17,1.43,0.7401,"3,679,900"
1972-05-01T04:00:00.000Z,954.17,979.46,917.37,960.72,0.6865,-0.0054,"3,358,500"
1972-06-01T04:00:00.000Z,960.72,967.72,917.75,929.03,-3.3,-3.99,"3,145,100"
1972-07-03T04:00:00.000Z,929.03,955.45,900.06,924.74,-0.4618,-1.15,"2,889,000"
1972-08-01T04:00:00.000Z,924.74,980.36,922.03,963.73,4.22,3.52,"3,569,300"
1972-09-01T04:00:00.000Z,963.73,977.35,927.15,953.27,-1.09,-1.78,"2,461,900"
1972-10-02T04:00:00.000Z,953.27,964.1,917.07,955.52,0.236,-0.4558,"3,173,000"
1972-11-01T05:00:00.000Z,955.52,1029.73,955.3,1018.21,6.56,5.87,"4,055,700"
1972-12-01T05:00:00.000Z,1018.21,1042.44,996.09,1020.02,0.1778,-0.5141,"3,447,300"
1973-01-01T05:00:00.000Z,1022.88,1067.2,988.11,999.02,-2.06,-2.75,"3,937,500"
1973-02-01T05:00:00.000Z,999.02,1019.94,938.82,955.07,-4.4,-5.09,"3,181,900"
1973-03-01T05:00:00.000Z,955.07,985.25,911.12,951.01,-0.4251,-1.12,"3,434,000"
1973-04-02T05:00:00.000Z,951.01,975.32,907.51,921.43,-3.11,-3.8,"2,779,900"
1973-05-01T04:00:00.000Z,921.43,965.16,875.45,901.41,-2.17,-2.86,"3,372,600"
1973-06-01T04:00:00.000Z,901.41,935.58,864.46,891.71,-1.08,-1.77,"2,687,000"
1973-07-02T04:00:00.000Z,890.2,944.08,863.94,926.4,3.89,3.2,"3,077,800"
1973-08-01T04:00:00.000Z,924.37,924.37,845.5,887.57,-4.19,-4.88,"2,744,600"
1973-09-03T04:00:00.000Z,887.57,964.55,873.34,947.1,6.71,6.02,"3,290,700"
1973-10-01T04:00:00.000Z,947.1,997.59,937.69,956.58,1,0.3091,"4,229,000"
1973-11-01T05:00:00.000Z,956.58,963.8,810.36,822.25,-14.04,-14.73,"3,999,000"
1973-12-03T05:00:00.000Z,820.51,861.09,783.56,850.86,3.48,2.79,"3,843,800"
1974-01-01T05:00:00.000Z,850.86,890.38,816.57,855.55,0.5512,-0.1406,"3,631,500"
1974-02-01T04:00:00.000Z,855.55,871.4,802.17,860.53,0.5821,-0.1098,"2,568,100"
1974-03-01T04:00:00.000Z,860.53,904.02,841.76,846.68,-1.61,-2.3,"3,096,000"
1974-04-01T04:00:00.000Z,846.68,875.94,818.68,836.75,-1.17,-1.86,"2,542,700"
1974-05-01T04:00:00.000Z,836.75,870.38,788.8,802.17,-4.13,-4.82,"2,751,500"
1974-06-03T04:00:00.000Z,802.17,865.54,796.46,802.41,0.0299,-0.6619,"2,453,400"
1974-07-01T04:00:00.000Z,802.41,811.95,751.13,757.43,-5.61,-6.3,"2,740,900"
1974-08-01T04:00:00.000Z,757.43,803.43,651.6,678.58,-10.41,-11.1,"2,801,000"
1974-09-02T04:00:00.000Z,678.58,686.48,598.8,607.87,-10.42,-11.11,"2,800,500"
1974-10-01T04:00:00.000Z,607.87,689.3,573.22,665.52,9.48,8.79,"3,771,000"
1974-11-01T05:00:00.000Z,665.52,692.82,599.81,618.66,-7.04,-7.73,"2,867,900"
1974-12-02T05:00:00.000Z,616.08,619.84,570.01,616.24,-0.3912,-1.08,"3,151,500"
1975-01-01T05:00:00.000Z,619.13,717.3,619.13,703.69,14.19,13.5,"4,325,500"
1975-02-03T05:00:00.000Z,703.69,757.35,695.24,739.05,5.02,4.33,"4,236,400"
1975-03-03T04:00:00.000Z,739.05,796.93,731.46,768.15,3.94,3.25,"4,536,100"
1975-04-01T04:00:00.000Z,768.15,835.18,736.62,821.34,6.92,6.23,"4,513,500"
1975-05-01T04:00:00.000Z,821.34,868.58,807.96,832.29,1.33,0.6413,"4,574,900"
1975-06-02T04:00:00.000Z,835.73,884.62,811.23,878.99,5.61,4.92,"4,470,000"
1975-07-01T04:00:00.000Z,878.99,888.85,819.15,831.51,-5.4,-6.09,"4,416,800"
1975-08-01T04:00:00.000Z,831.51,844.02,785.75,835.34,0.4606,-0.2312,"2,814,700"
1975-09-01T04:00:00.000Z,835.34,849.03,789.66,793.88,-4.96,-5.66,"2,751,200"
1975-10-01T04:00:00.000Z,793.88,859.57,780.54,836.04,5.31,4.62,"3,655,400"
1975-11-03T05:00:00.000Z,836.04,865.79,821.08,860.67,2.95,2.25,"3,188,100"
1975-12-01T05:00:00.000Z,860.67,866.11,812.81,852.41,-0.9597,-1.65,"3,489,700"
1976-01-01T05:00:00.000Z,852.41,985.99,848.63,975.28,14.41,13.72,"6,358,300"
1976-02-02T05:00:00.000Z,975.28,1002.83,946.16,972.61,-0.2738,-0.9656,"5,961,300"
1976-03-01T05:00:00.000Z,972.61,1018.03,964.18,999.45,2.76,2.07,"5,296,000"
1976-04-01T05:00:00.000Z,999.45,1017.71,963,996.85,-0.2601,-0.952,"3,922,600"
1976-05-03T04:00:00.000Z,995.83,1015.82,955.84,975.23,-2.17,-2.86,"3,559,100"
1976-06-01T04:00:00.000Z,975.23,1012.93,951.7,1002.78,2.82,2.13,"4,172,300"
1976-07-01T04:00:00.000Z,1002.78,1017.93,974.2,984.64,-1.81,-2.5,"3,937,600"
1976-08-02T04:00:00.000Z,984.64,1004.74,954.12,973.74,-1.11,-1.8,"3,466,800"
1976-09-01T04:00:00.000Z,973.74,1026.26,971.24,990.19,1.69,0.9975,"4,147,500"
1976-10-01T04:00:00.000Z,990.19,995.6,928.2,964.93,-2.55,-3.24,"3,613,900"
1976-11-01T05:00:00.000Z,964.93,971.99,917.89,947.22,-1.84,-2.53,"3,810,200"
1976-12-01T05:00:00.000Z,947.22,1006.82,942.24,1004.65,6.06,5.37,"5,345,500"
1977-01-03T05:00:00.000Z,1004.65,1007.81,944.9,954.37,-5,-5.7,"5,016,200"
1977-02-01T05:00:00.000Z,954.37,963.76,926.03,936.42,-1.88,-2.57,"3,984,400"
1977-03-01T05:00:00.000Z,936.42,971.58,914.15,919.13,-1.85,-2.54,"4,346,900"
1977-04-01T05:00:00.000Z,919.55,956.07,909.74,926.9,0.8454,0.1535,"4,030,600"
1977-05-02T04:00:00.000Z,931.22,949.46,892.55,898.66,-3.05,-3.74,"4,258,200"
1977-06-01T04:00:00.000Z,898.66,934.36,896.46,916.3,1.96,1.27,"4,851,500"
1977-07-01T04:00:00.000Z,916.3,927.84,878.81,890.07,-2.86,-3.55,"4,524,800"
1977-08-01T04:00:00.000Z,890.07,900.03,844.42,861.49,-3.21,-3.9,"4,336,500"
1977-09-01T04:00:00.000Z,861.49,879.76,830.3,847.11,-1.67,-2.36,"3,836,700"
1977-10-03T04:00:00.000Z,847.11,855.77,792.79,818.35,-3.4,-4.09,"4,134,700"
1977-11-01T05:00:00.000Z,816.01,850.05,794.53,829.7,1.39,0.6951,"4,946,800"
1977-12-01T05:00:00.000Z,829.7,835.15,800.42,831.17,0.1772,-0.5147,"4,509,700"
1978-01-02T05:00:00.000Z,830.47,830.47,759.44,769.92,-7.37,-8.06,"4,281,400"
1978-02-01T05:00:00.000Z,769.92,787.42,739.17,742.12,-3.61,-4.3,"3,686,000"
1978-03-01T05:00:00.000Z,742.12,777.81,736.75,757.36,2.05,1.36,"4,975,800"
1978-04-03T05:00:00.000Z,756.67,846.15,747.05,837.32,10.56,9.87,"6,956,000"
1978-05-01T04:00:00.000Z,837.32,865.64,813.84,840.61,0.3929,-0.2989,"7,757,500"
1978-06-01T04:00:00.000Z,840.61,879.33,807.95,818.95,-2.58,-3.27,"6,662,900"
1978-07-03T04:00:00.000Z,818.95,866.34,800.94,862.27,5.29,4.6,"5,414,900"
1978-08-01T04:00:00.000Z,862.27,911.21,855.34,876.82,1.69,0.9956,"8,649,500"
1978-09-01T04:00:00.000Z,876.82,917.27,850.92,865.82,-1.25,-1.95,"6,722,900"
1978-10-02T04:00:00.000Z,865.82,909.39,782.05,792.45,-8.47,-9.17,"6,823,400"
1978-11-01T05:00:00.000Z,805.53,831.69,779.11,799.03,0.8303,0.1385,"5,146,100"
1978-12-01T05:00:00.000Z,801.98,829.87,781.01,805.01,0.7484,0.0566,"4,924,400"
1979-01-01T05:00:00.000Z,805.01,865.04,798.51,839.22,4.25,3.56,"6,157,300"
1979-02-01T05:00:00.000Z,839.22,843.99,802.23,808.82,-3.62,-4.31,"4,757,100"
1979-03-01T05:00:00.000Z,808.82,876.99,807.26,862.18,6.6,5.91,"6,498,000"
1979-04-02T05:00:00.000Z,859.93,884.62,847.28,854.9,-0.8444,-1.54,"6,206,500"
1979-05-01T04:00:00.000Z,854.9,863.22,815.14,822.33,-3.81,-4.5,"6,237,400"
1979-06-01T04:00:00.000Z,822.33,853.86,817.74,841.98,2.39,1.7,"7,357,100"
1979-07-02T04:00:00.000Z,840.61,857,818,846.42,0.5273,-0.1645,"6,807,400"
1979-08-01T04:00:00.000Z,846.42,893.6,839.08,887.63,4.87,4.18,"8,250,500"
1979-09-03T04:00:00.000Z,887.63,902.13,857.85,878.58,-1.02,-1.71,"7,139,400"
1979-10-01T04:00:00.000Z,877.73,904.86,795.99,815.7,-7.16,-7.85,"8,579,300"
1979-11-01T05:00:00.000Z,815.7,838.57,792.24,822.35,0.8153,0.1234,"6,536,500"
1979-12-03T05:00:00.000Z,822.35,851.54,814.76,838.74,1.99,1.3,"7,102,100"
1980-01-01T05:00:00.000Z,838.74,897.88,809.05,875.84,4.42,3.73,"11,582,400"
1980-02-01T05:00:00.000Z,875.84,918.17,847.27,863.14,-1.45,-2.14,"9,565,300"
1980-03-03T05:00:00.000Z,863.14,868.69,729.95,785.75,-8.97,-9.66,"8,764,500"
1980-04-01T05:00:00.000Z,785.75,818.52,751.37,817.06,3.98,3.29,"6,741,400"
1980-05-01T04:00:00.000Z,817.06,866.13,795.81,850.84,4.13,3.44,"7,649,200"
1980-06-02T04:00:00.000Z,850.84,896.33,840.7,867.92,2.01,1.32,"8,296,600"
1980-07-01T04:00:00.000Z,867.92,946.94,862.63,935.31,7.76,7.07,"10,217,700"
1980-08-01T04:00:00.000Z,935.31,972.34,918.52,932.59,-0.2908,-0.9827,"9,656,600"
1980-09-01T04:00:00.000Z,932.59,980.72,918,932.42,-0.0182,-0.7101,"10,577,100"
1980-10-01T04:00:00.000Z,932.42,987.3,911.59,924.48,-0.8515,-1.54,"10,317,900"
1980-11-03T05:00:00.000Z,924.48,1009.39,924.48,993.34,7.45,6.76,"9,881,100"
1980-12-01T05:00:00.000Z,991.13,991.13,895.45,963.98,-2.96,-3.65,"10,256,500"
1981-01-01T05:00:00.000Z,963.98,1013.14,930.89,947.27,-1.73,-2.43,"9,555,200"
1981-02-02T05:00:00.000Z,947.09,980.88,923.89,974.58,2.88,2.19,"8,163,100"
1981-03-02T05:00:00.000Z,974.58,1021.81,955.7,1003.87,3.01,2.31,0
1981-04-01T05:00:00.000Z,1003.87,1030.98,981.81,997.75,-0.6096,-1.3,0
1981-05-01T04:00:00.000Z,997.75,1005.22,956.69,991.75,-0.6014,-1.29,0
1981-06-01T04:00:00.000Z,991.75,1023.02,972.7,976.88,-1.5,-2.19,0
1981-07-01T04:00:00.000Z,976.88,978.98,918.66,952.34,-2.51,-3.2,0
1981-08-03T04:00:00.000Z,952.34,961.47,879.09,881.47,-7.44,-8.13,0
1981-09-01T04:00:00.000Z,881.47,892.41,807.45,849.98,-3.57,-4.26,0
1981-10-01T04:00:00.000Z,849.98,885.84,823.63,852.55,0.3024,-0.3895,0
1981-11-02T05:00:00.000Z,855.97,892.8,834.57,888.98,4.27,3.58,0
1981-12-01T05:00:00.000Z,888.98,898.5,862.81,875,-1.57,-2.26,0
1982-01-01T05:00:00.000Z,875,887.38,832.56,871.09,-0.4469,-1.14,0
1982-02-01T05:00:00.000Z,866.34,866.34,802.23,824.39,-5.36,-6.05,0
1982-03-01T05:00:00.000Z,824.39,840.66,786.16,822.77,-0.1965,-0.8883,0
1982-04-01T05:00:00.000Z,822.77,871.19,820.48,848.36,3.11,2.42,0
1982-05-03T04:00:00.000Z,848.36,876.52,815.55,819.55,-3.4,-4.09,0
1982-06-01T04:00:00.000Z,819.55,824.3,784.25,811.94,-0.9286,-1.62,0
1982-07-01T04:00:00.000Z,811.94,843.8,787.39,808.59,-0.4126,-1.1,0
1982-08-02T04:00:00.000Z,808.59,910.95,769.98,901.31,11.47,10.78,0
1982-09-01T04:00:00.000Z,901.31,951.16,888.7,896.25,-0.5614,-1.25,0
1982-10-01T04:00:00.000Z,896.25,1046.08,892.02,991.07,10.58,9.89,0
1982-11-01T05:00:00.000Z,990.8,1072.01,983.71,1039.28,4.86,4.17,0
1982-12-01T05:00:00.000Z,1043.22,1074.32,988.59,1046.55,0.6992,0.0074,0
1983-01-03T05:00:00.000Z,1048.92,1100.07,1020.23,1075.69,2.78,2.09,0
1983-02-01T05:00:00.000Z,1076.88,1130.51,1051.78,1112.62,3.43,2.74,0
1983-03-01T05:00:00.000Z,1113.09,1152.09,1108.55,1129.93,1.56,0.8639,0
1983-04-01T05:00:00.000Z,1129.84,1228.04,1104.68,1226.19,8.52,7.83,0
1983-05-02T04:00:00.000Z,1226.01,1240.52,1176.86,1200.08,-2.13,-2.82,0
1983-06-01T04:00:00.000Z,1200.08,1251.2,1180.89,1221.35,1.77,1.08,0
1983-07-01T04:00:00.000Z,1221.35,1252.9,1183.79,1199.21,-1.81,-2.5,0
1983-08-01T04:00:00.000Z,1199.82,1216.15,1156.45,1216.15,1.41,0.7208,0
1983-09-01T04:00:00.000Z,1215.75,1264.74,1205.28,1233.12,1.4,0.7035,0
1983-10-03T04:00:00.000Z,1232.42,1284.65,1219.82,1225.2,-0.6423,-1.33,0
1983-11-01T05:00:00.000Z,1225.41,1291.67,1213.21,1276.01,4.15,3.46,0
1983-12-01T05:00:00.000Z,1275.81,1279.37,1236.38,1258.63,-1.36,-2.05,0
1984-01-02T05:00:00.000Z,1257.72,1291.87,1215.45,1220.57,-3.02,-3.72,0
1984-02-01T05:00:00.000Z,1220.79,1223.2,1117.88,1154.62,-5.4,-6.1,0
1984-03-01T05:00:00.000Z,1154.31,1191.48,1136.1,1164.26,0.8349,0.1431,0
1984-04-02T05:00:00.000Z,1165.2,1177.76,1120.39,1170.74,0.5566,-0.1353,0
